id,name,price,brand,cpu,memory,storage
151,HP ZBook 15 G6,39045,HP,Intel Core i5-8265U,16GB,512GB
152,HP ZBook Studio G5,31293,HP,Intel Core i5-8300H,32GB,256GB
153,HP ZBook 15u G6,17579,HP,Intel Core i5-8265U,16GB,256GB
154,HP ZBook Studio x360 G5,26199,HP,Intel Core i5-8300H,16GB,256GB
155,HP ZBook 15u G6,16915,HP,Intel Core i5-8265U,16GB,512GB
156,HP EliteBook 830 G6,22995,HP,Intel Core i5-8250U,8GB,8GB
157,HP ProBook 650 G5,11799,HP,Intel Core i5-8265U,8GB,256GB
158,Apple MacBook Pro,30349,Apple,Intel Core i9-9880H,16GB,1024GB
159,Apple MacBook Pro,27489,Apple,Intel Core i7-9750H,16GB,512GB
160,HP Spectre x360 13-,19990,HP,Intel Core i5-1035G4,16GB,512GB
161,Lenovo ThinkPad T490s,16839,Lenovo,Intel Core i5-8265U,16GB,256GB
162,Lenovo ThinkPad X1 Carbon,21490,Lenovo,Intel Core i5-8265U,16GB,256GB
163,Lenovo ThinkPad X1 Carbon,25853,Lenovo,Intel Core i7-8565U,16GB,1024GB
164,Lenovo ThinkPad X1 Carbon,21657,Lenovo,Intel Core i5-8265U,16GB,256GB
165,Lenovo ThinkPad X1 Carbon,17990,Lenovo,Intel Core i7-8565U,16GB,512GB
166,Asus ZenBook 15 UX534FTC-PURE2,14990,Asus,Intel Core i7-10510U,16GB,512GB
167,Lenovo ThinkPad X1 Carbon,26055,Lenovo,Intel Core i7-8665U,16GB,512GB
168,HP EliteBook 840 G6,27296,HP,Intel Core i5-8265U,8GB,8GB
169,HP ZBook 14u G6,35599,HP,Intel Core i5-8265U,4GB,8GB
170,HP ZBook 15 G6,15219,HP,Intel Core i5-8265U,32GB,256GB
171,HP EliteBook 830 G6,27691,HP,Intel Core i5-8250U,16GB,512GB
172,HP EliteBook 840 G6,9994,HP,Intel Core i5-8265U,8GB,8GB
173,HP ZBook 14u G6,30072,HP,Intel Core i5-8265U,4GB,8GB
174,HP ZBook 15v G5,12792,HP,Intel Core i5-8300H,8GB,256GB
175,HP EliteBook x360 1040 G6,19337,HP,Intel Core i5-8265U,16GB,256GB
176,HP ProBook 450 G6,14800,HP,Intel Core i5-4200M,4GB,8GB
177,HP EliteBook 840 G6,22273,HP,Intel Core i5-8265U,8GB,8GB
178,HP EliteBook 830 G5,28690,HP,Intel Core i5-7200U,8GB,256GB
179,HP ProBook 640 G5,11395,HP,Intel Core i5-8250U,8GB,256GB
180,HP EliteBook 850 G6,13785,HP,Intel Core i7-8550U,8GB,8GB
181,HP EliteBook x360 1030 G4,16768,HP,Intel Core i7-8550U,16GB,256GB
182,HP ProBook 640 G5,13949,HP,Intel Core i5-8250U,16GB,512GB
183,HP EliteBook x360 1030 G4,24600,HP,Intel Core i7-8550U,16GB,256GB
184,Apple MacBook Pro,32989,Apple,Intel Core i9-9880H,16GB,1024GB
185,HP ZBook 14u G6,27919,HP,Intel Core i5-8265U,4GB,8GB
186,HP EliteBook x360 1040 G6,26399,HP,Intel Core i5-8265U,16GB,256GB
187,HP ProBook 450 G6,14228,HP,Intel Core i5-8265U,8GB,512GB
188,HP ZBook 15 G6,51959,HP,Intel Core i5-8265U,8GB,256GB
189,HP ZBook 15v G5,41599,HP,Intel Core i5-8300H,8GB,256GB
190,HP ZBook 15 G6,37849,HP,Intel Core i5-8265U,8GB,256GB
191,HP EliteBook x360 1030 G4,20990,HP,Intel Core i7-8550U,8GB,256GB
192,HP ProBook 650 G5,13999,HP,Intel Core i5-8265U,16GB,512GB
193,HP EliteBook 840 G6,13351,HP,Intel Core i5-8265U,8GB,8GB
194,HP ProBook 450 G6,15975,HP,Intel Core i7-8565U,16GB,512GB
195,HP ProBook 450 G6,13109,HP,Intel Core i5-8265U,8GB,256GB
196,HP ZBook 14u G6,29919,HP,Intel Core i5-8265U,4GB,8GB
197,HP ZBook 15 G6,46600,HP,Intel Core i5-8265U,8GB,256GB
198,HP ZBook 14u G6,33307,HP,Intel Core i5-8265U,16GB,8GB
199,HP ZBook 14u G6,34559,HP,Intel Core i5-8265U,4GB,8GB
200,HP ZBook 14u G6,31949,HP,Intel Core i5-8265U,4GB,8GB
