,Company,Pages,Sustainability Report mention,first5sus,Annual Report mention,first5annual,exclusion,Year,bs_score,sustainability_score
132,15691,24,0,0,1,0,1,2021,0,0
133,15656,45,1,1,0,0,0,2020,2,0
134,15666,9,0,0,0,0,0,2021,0,0
135,561,41,1,1,1,1,0,2021,2,0
136,563,50,1,1,1,0,0,2020,2,0
137,15647,11,1,1,1,1,1,2020,2,0
138,4006,772,0,0,1,0,0,2008,0,0
139,15649,117,1,1,1,1,0,2020,2,0
140,560,137,1,1,1,1,0,2021,2,0
141,15643,110,1,1,1,0,1,2020,2,0
142,15641,63,1,1,1,0,1,2020,2,0
143,412,77,1,1,0,0,0,2021,2,0
144,49,89,1,1,1,1,0,2020,2,0
145,15625,79,1,1,1,0,0,2021,2,0
146,50,251,1,0,1,1,0,2020,1,0
147,15571,97,1,1,1,1,0,2020,2,0
148,4005,54,1,1,0,0,1,2020,2,0
149,556,67,1,1,1,0,0,2020,2,0
150,557,119,1,1,1,1,0,2020,2,0
151,17753,38,0,0,0,0,0,2021,0,0
152,15554,11,1,0,0,0,1,2021,0,0
153,15579,14,1,0,1,1,1,2020,0,0
154,554,10,0,0,0,0,0,2021,0,0
155,553,7,1,1,1,1,0,2020,2,0
156,4000,142,0,0,0,0,0,2020,0,0
157,401,65,1,1,1,0,1,2020,2,0
158,548,30,1,1,1,1,0,2020,2,0
159,545,68,1,1,1,0,0,2020,2,0
160,3991,319,0,0,1,1,0,2020,1,0
161,3994,189,0,0,0,0,0,2021,0,0
162,3997,122,0,0,1,0,0,2020,0,0
163,544,88,1,1,1,0,0,2020,2,0
164,53,95,1,1,1,0,0,2020,2,0
165,543,67,1,1,0,0,1,2020,2,0
166,15484,6,1,1,0,0,0,2020,2,0
167,539,122,1,1,0,0,0,2021,2,0
168,54,58,1,1,1,1,1,2020,2,0
169,15481,96,1,1,1,1,0,2020,2,0
170,15460,52,1,1,1,0,1,2020,2,0
171,15453,193,1,1,1,0,0,2020,2,0
172,391,94,1,1,0,0,0,2002,2,0
173,3987,232,1,1,1,0,1,2020,2,0
174,15383,217,1,0,1,1,0,2020,1,0
175,3986,40,0,0,0,0,0,2021,0,0
176,15439,65,0,0,0,0,0,2020,0,0
177,390,41,1,1,0,0,0,2010,2,0
178,15368,108,1,1,0,0,0,2021,2,0
179,15351,98,1,1,1,1,0,2021,2,0
180,15353,13,1,1,0,0,1,2021,2,0
181,15348,42,1,0,0,0,0,2019,0,0
182,15341,108,1,1,0,0,0,2021,2,0
183,17847,305,0,0,1,0,0,2020,0,0
184,15342,254,1,0,1,1,0,2020,1,0
185,15345,101,1,1,0,0,1,2020,2,0
186,529,3,1,1,0,0,0,2020,2,0
187,532,44,1,1,1,0,0,2019,2,0
188,531,145,0,0,1,1,0,2020,1,0
189,525,109,1,1,1,0,1,2020,2,0
190,522,81,1,1,1,0,0,2020,2,0
191,15241,17,1,1,0,0,0,2010,2,0
192,524,8,0,0,0,0,0,2020,0,0
193,15247,35,1,1,1,0,0,2020,2,0
194,15229,76,0,0,1,1,0,2018,1,0
195,3980,77,1,1,1,0,0,2019,2,0
196,3982,77,1,1,1,0,0,2019,2,0
197,383,15,1,0,0,0,1,2020,0,0
